Title: The COS-Halos Survey: An Empirical Description of Metal-Line Absorption 
       in the Low-Redshift Circumgalactic Medium 
Authors: Werk J.K., Prochaska J.X., Thom C., Tumlinson J., Tripp T.M., 
         O'Meara J.M., Peeples M.S. 
Table: Metal Line-Profile Fits and Final Column Densities
================================================================================
Byte-by-byte Description of file: apjs456058t4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1- 17 A17    ---      ID     Identifier (1)
  19- 24 F6.4   ---      z      Spectroscopic redshift; Werk et al. 2012
  26- 31 A6     ---      Ion    Metal ion identifier
  33- 38 F6.1   km/s     Vel    ? Component velocity
  40- 44 F5.1   km/s   e_Vel    ? Error in Vel
  46- 50 F5.1   km/s     b      ? Component doppler width
  52- 56 F5.1   km/s   e_b      ? Error in b (2)
  58- 62 F5.2   [cm-2]   logN   ? Log of column density
  64- 67 A4     [cm-2]   elogN  ? Error in logN
      69 A1     ---    l_logNA  Limit flag on logNA
  71- 75 F5.2   [cm-2]   logNA  ? Log of AODM column density
  77- 80 F4.2   [cm-2] e_logNA  ? Uncertainty in logNA
--------------------------------------------------------------------------------
Note (1): SDSS Field Identifier and galaxy identifier, where the first number 
          is the position angle in degrees from the QSO and the second number 
          is the projected separation in arcseconds (impact parameter) from 
          the QSO.
Note (2): A few of the component Doppler parameter errors of especially weak 
          absorption lines are given as -0.0, a red flag that the fits should 
          not be trusted in those particular instances.
--------------------------------------------------------------------------------
J0226+0015_268_22 0.2274                                                        
J0401-0540_67_24  0.2197 C III   -65.2   5.8  12.7   8.1 13.72 0.43 > 14.00     
J0401-0540_67_24  0.2197 C III   -13.9   6.3  25.1   7.5 13.97 0.15 > 14.00     
J0401-0540_67_24  0.2197 N III   -45.7   5.7  14.7  13.6 14.01 0.38   14.57 0.05
J0401-0540_67_24  0.2197 N III     8.1  17.3  54.4  16.8 14.45 0.14   14.57 0.05
J0401-0540_67_24  0.2197 O VI    -59.3   6.8  33.3   7.7 14.25 0.10   14.52 0.02
J0401-0540_67_24  0.2197 O VI      6.0   5.5  27.9   6.0 14.25 0.08   14.52 0.02
J0401-0540_67_24  0.2197 Si III  -57.3   5.2  42.0   7.7 12.91 0.06   12.88 0.06
J0803+4332_306_20 0.2535 C III   -36.8   3.6  17.1   6.2 13.55 0.13   13.66 0.06
J0803+4332_306_20 0.2535 C III    13.6   4.0  10.5   7.6 13.29 0.23   13.66 0.06
J0910+1014_34_46  0.1427 C IV    -97.2   1.8  20.7   2.6 14.16 0.05   14.10 0.09
J0910+1014_34_46  0.1427 C IV    -28.7   8.0  23.7  13.9 13.29 0.17   14.10 0.09
J0910+1014_34_46  0.1427 O VI   -105.3  17.2 100.0  22.3 14.66 0.09 > 14.56     
J0910+1014_34_46  0.1427 Mg II   -87.2   0.5   7.0   0.6 12.83 0.05 > 13.29     
J0910+1014_34_46  0.1427 Si III -109.5   3.8  23.3   6.7 13.42 0.15 > 13.28     
J0910+1014_34_46  0.1427 Si III  -47.2  14.4  17.4  22.8 12.39 0.31 > 13.28     
