	1	2	3	4	5	6	7	8	9	10
CII	(16.445, 0.633)	(11.105, 0.03)	(11.208, 1.732)	(9.456, 0.045)	(9.641, 1.177)	(11.875, 0.249)	(13.977, 0.06)	(13.548, 0.175)	(14.815, 0.378)	(13.91, 0.165)
CIII	(21.18, 3.547)	(13.182, 1.118)	(13.858, 0.04)	(12.697, 0.059)	(10.598, 2.802)	(12.646, 1.842)	(16.031, 0.093)	(13.421, 2.315)	(15.715, 0.156)	(17.907, 4.079)
HI	(16.119, 0.024)	(16.79, 0.036)	(16.228, 0.119)	(16.116, 0.021)	(15.042, 0.083)	(15.847, 0.085)	(16.152, 0.112)	(16.002, 0.016)	(15.083, 0.036)	(15.246, 0.019)
NII	(15.198, 0.281)	(11.32, 0.272)	(12.091, 0.422)	(-inf, 0.077)	(9.394, 0.409)	(12.189, 0.151)	(14.474, 0.138)	(12.899, 0.043)	(14.169, 0.169)	(13.376, 0.044)
NIII	(17.317, 0.058)	(14.112, 0.292)	(14.43, 0.096)	(11.658, 0.078)	(12.004, 0.485)	(14.758, 0.075)	(16.101, 0.304)	(13.776, 0.078)	(15.123, 0.187)	(13.829, 0.191)
NV	(14.975, 0.238)	(15.851, 0.354)	(15.356, 0.156)	(15.261, 0.344)	(13.684, 0.072)	(16.347, 0.329)	(16.264, 0.079)	(11.824, 0.043)	(13.624, 0.366)	(11.355, 0.185)
OI	(12.141, 0.092)	(9.011, 0.095)	(9.289, 0.241)	(-inf, 0.153)	(-inf, 0.143)	(10.021, 0.231)	(11.599, 0.146)	(10.821, 0.077)	(11.548, 0.314)	(10.844, 0.049)
OVI	(11.195, 0.171)	(16.311, 0.9)	(14.609, 0.248)	(17.158, 0.011)	(14.531, 0.028)	(17.138, 0.01)	(13.759, 1.152)	(11.542, 0.13)	(14.921, 2.425)	(11.269, 0.033)
SiII	(13.547, 0.046)	(9.227, 0.405)	(9.328, 0.018)	(-inf, 0.104)	(7.403, 0.27)	(10.009, 0.017)	(11.506, 0.034)	(12.083, 0.209)	(11.877, 0.155)	(12.129, 0.014)
SiIII	(15.811, 0.041)	(12.189, 0.626)	(12.377, 0.501)	(11.212, 0.048)	(9.332, 0.388)	(13.11, 0.279)	(14.095, 0.06)	(13.076, 0.465)	(13.541, 0.048)	(13.724, 0.366)
SiIV	(16.149, 0.16)	(13.605, 0.166)	(13.11, 0.275)	(13.517, 0.108)	(10.782, 0.209)	(14.704, 0.211)	(15.234, 0.349)	(12.36, 0.441)	(13.231, 0.282)	(12.529, 0.179)
